Asset Class,Before_Tax_Returns,Before_Tax_Risk_Normal,Before_Tax_Risk_Stressed,Correlation Normal,AEQ,AEQS,OEQAC,OEQACH,OEQDM,OEQDMH,OEQS,OEQEM,APE,IPE,OPPGH,ARSG,ARS,INFL,INF,INFI,AREIT,GREIT,PROD,PRODI,PRGTH,PRGTHI,TIMB,COMM,DAIRY,FRD,AFIGOV,AFICRD,AFI,ILB,AFIHY,OFIGOV,OFICRD,OFI,OILB,OFIHY,EMDHC,EMDLC,CASH,MLTAA,RISKPY,Correlation Stressed,AEQ,AEQS,OEQAC,OEQACH,OEQDM,OEQDMH,OEQS,OEQEM,APE,IPE,OPPGH,ARSG,ARS,INFL,INF,INFI,AREIT,GREIT,PROD,PRODI,PRGTH,PRGTHI,TIMB,COMM,DAIRY,FRD,AFIGOV,AFICRD,AFI,ILB,AFIHY,OFIGOV,OFICRD,OFI,OILB,OFIHY,EMDHC,EMDLC,CASH,MLTAA,RISKPY
PRODI,0.0825,0.1,0.125,PRODI,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,0.5,0.75,1.0,0.25,0.25,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRODI,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,1.0,1.0,0.5,0.5,0.25,0.25,0.75,0.25,-0.5,0.25,0.0,0.25,0.25,-0.5,0.25,0.0,0.25,0.25,0.25,0.25,0,0.25,0.25
PRGTH,0.1125,0.2,0.25,PRGTH,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.5,0.0,0.0,0.5,0.5,0.25,0.25,1.0,0.75,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,PRGTH,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.75,0.25,0.25,0.75,0.75,0.5,0.5,1.0,1.0,0.25,0.25,0.5,0.25,-0.5,0.25,0.0,0.25,0.25,-0.5,0.25,0.0,0.25,0.25,0.25,0.25,0,0.5,0.25
PRGTHI,0.1125,0.2,0.25,PRGTHI,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.5,0.0,0.0,0.5,0.5,0.25,0.25,0.75,1.0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,PRGTHI,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.75,0.25,0.25,0.75,0.75,0.5,0.5,1.0,1.0,0.25,0.25,0.5,0.25,-0.5,0.25,0.0,0.25,0.25,-0.5,0.25,0.0,0.25,0.25,0.25,0.25,0,0.5,0.25
TIMB,0.07250000000000001,0.08,0.1,TIMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIMB,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.0,-0.5,0.25,0.0,0.25,0.25,-0.5,0.25,0.0,0.25,0.25,0.25,0.25,0,0.25,0.25
COMM,0.0825,0.18,0.27,COMM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMM,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.25,-0.5,0.25,0.0,0.25,0.25,-0.5,0.25,0.0,0.25,0.25,0.25,0.25,0,0.25,0.25
DAIRY,0.12250000000000001,0.15,0.1875,DAIRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.5,0.25,0.25,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAIRY,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.75,0.75,0.5,0.5,0.25,0.25,1.0,0.25,-0.5,0.25,0.0,0.25,0.25,-0.5,0.25,0.0,0.25,0.25,0.25,0.25,0,0.25,0.25
FRD,0.07250000000000001,0.05,0.075,FRD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.5,0.25,0.0,0.75,0.0,0.5,0.25,0.0,0.75,0.5,0.0,0.25,0.0,0.0,FRD,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.0,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.25,0.25,1.0,-0.5,0.75,0.25,0.25,1.0,-0.5,0.75,0.25,0.25,1.0,0.75,0.25,0,0.25,0.5
AFIGOV,0.05,0.035,0.052500000000000005,AFIGOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.5,0.75,0.5,0.25,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.25,AFIGOV,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,0.0,0.75,0.0,-0.25,1.0,0.0,0.5,0.0,-0.25,-0.25,-0.25,0,-0.5,0.5
AFICRD,0.06,0.038,0.057,AFICRD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.5,1.0,0.75,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,AFICRD,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.0,1.0,0.75,0.75,0.75,0.0,1.0,0.75,0.75,0.75,0.75,0.75,0,0.5,0.5
AFI,0.054,0.037,0.0555,AFI,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.25,0.75,0.75,1.0,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,AFI,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.75,1.0,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0,0.25,0.5
ILB,0.053500000000000006,0.05,0.075,ILB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.0,0.0,0.25,ILB,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.75,0.5,1.0,0.75,0.0,0.75,0.5,1.0,0.75,0.5,0.5,0,0.25,0.5
AFIHY,0.075,0.065,0.0975,AFIHY,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.75,0.25,0.5,0.5,0.5,1.0,0.25,0.5,0.5,0.5,0.75,0.75,0.5,0.25,0.25,0.25,AFIHY,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,-0.25,0.75,0.5,0.75,1.0,-0.25,0.75,0.5,0.75,1.0,1.0,0.75,0,0.5,0.5
OFIGOV,0.052500000000000005,0.035,0.052500000000000005,OFIGOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.75,0.5,0.75,0.5,0.25,1.0,0.5,0.75,0.5,0.25,0.25,0.25,0.25,0.0,0.25,OFIGOV,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,0.0,0.75,0.0,-0.25,1.0,0.0,0.75,0.0,-0.25,-0.25,-0.25,0,-0.5,0.5
OFICRD,0.0625,0.038,0.057,OFICRD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.5,0.75,0.75,0.5,0.5,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,OFICRD,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.0,1.0,0.75,0.75,0.75,0.0,1.0,0.75,0.75,0.75,0.75,0.75,0,0.5,0.5
OFI,0.0565,0.037,0.0555,OFI,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.25,0.5,0.75,0.75,0.5,0.5,0.75,0.75,1.0,0.5,0.5,0.5,0.25,0.25,0.25,0.25,OFI,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.75,0.5,0.5,0.75,0.75,1.0,0.5,0.5,0.75,0.5,0,0.25,0.5
OILB,0.0555,0.05,0.075,OILB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.25,OILB,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.75,0.5,1.0,0.75,0.0,0.75,0.5,1.0,0.75,0.75,0.75,0,0.25,0.5
OFIHY,0.0775,0.065,0.0975,OFIHY,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.75,0.25,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.5,1.0,0.75,0.5,0.25,0.25,0.25,OFIHY,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,-0.25,0.75,0.5,0.75,1.0,-0.25,0.75,0.5,0.75,1.0,1.0,0.75,0,0.5,0.5
EMDHC,0.0825,0.08,0.005,EMDHC,0.5,0.5,0.0,0.5,0.0,0.5,0.25,0.5,0.0,0.0,0.25,0.5,0.25,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.25,0.5,0.5,0.25,0.75,0.25,0.5,0.5,0.5,0.75,1.0,0.0,0.0,0.25,0.25,EMDHC,0.75,0.75,0.25,0.75,0.25,0.75,0.5,0.75,0.25,0.25,0.5,0.75,0.5,0.75,0.25,0.25,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,-0.25,0.75,0.75,0.5,1.0,-0.25,0.75,0.75,0.75,1.0,1.0,0.25,0,0.5,0.5
EMDLC,0.0825,0.075,0.15,EMDLC,0.0,0.0,0.5,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.0,1.0,0.25,0.25,0.25,EMDLC,0.25,0.25,0.75,0.25,0.75,0.25,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.25,0.75,0.75,0.5,0.75,-0.25,0.75,0.5,0.75,0.75,0.25,1.0,0,0.5,0.5
CASH,0.0475,0.005,0.18,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.0,0.25,1.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
MLTAA,0.07185000000000001,0.1,0.12,MLTAA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.75,0.75,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.0,1.0,0.25,MLTAA,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,-0.5,0.5,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.5,0.5,0.5,0,1.0,0.5
RISKPY,0.093525,0.12,0.1125,RISKPY,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0,0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,1.0,RISKPY,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,1.0
